ticker,entry_date,entry_price,shares,invested,signal_date,exit_date,exit_price,reason,pnl_pct,pnl_eur,entry_year,pnl_bin
EXEL,2015-07-21,6.050000190734863,1644.628047324313,10000.0,2015-07-20,2018-04-03,21.280000686645508,HOLD,248.2269754645615,24822.697546456147,2015,100..250
CRUS,2015-08-05,29.979999542236328,331.88793035110865,10000.0,2015-08-04,2018-04-18,38.97999954223633,HOLD,28.723064162941768,2872.3064162941773,2015,25..50
FSLR,2015-08-06,51.20000076293945,194.33593460416893,10000.0,2015-08-05,2018-04-19,76.95999908447266,HOLD,48.81312882470894,4881.312882470895,2015,25..50
TEX,2015-08-12,23.38494110107422,425.48749458013106,10000.0,2015-08-11,2018-04-25,33.68128204345703,HOLD,42.59309489362701,4259.309489362702,2015,25..50
FCX,2015-08-28,9.44299602508545,1053.6910079775198,10000.0,2015-08-27,2018-05-11,14.729870796203613,HOLD,54.43128744597266,5443.128744597265,2015,50..100
SYNA,2015-10-02,79.70999908447266,124.82750112009774,10000.0,2015-10-01,2018-06-15,48.47999954223633,HOLD,-39.786209888249616,-3978.6209888249614,2015,-50..-25
WYNN,2015-10-05,56.61588668823242,175.74572407196973,10000.0,2015-10-02,2018-06-18,161.04824829101562,HOLD,181.62023301394768,18162.023301394765,2015,100..250
DXCM,2015-10-21,19.90250015258789,499.9371899869684,10000.0,2015-10-20,2018-07-05,24.3799991607666,HOLD,21.275259309567108,2127.525930956712,2015,0..25
TRMB,2015-11-02,23.399999618530273,425.21368214556185,10000.0,2015-10-30,2018-07-17,34.43000030517578,HOLD,45.66906670006428,4566.906670006429,2015,25..50
ANF,2015-11-23,20.46116065979004,486.28717429278527,10000.0,2015-11-20,2018-08-07,24.29330062866211,HOLD,17.544529143724553,1754.4529143724558,2015,0..25
BLDR,2015-12-04,13.369999885559082,744.2034469085509,10000.0,2015-12-03,2018-08-17,17.09000015258789,HOLD,26.548448361174515,2654.8448361174505,2015,25..50
WMB,2016-01-15,9.128522872924805,1089.9901482978912,10000.0,2016-01-14,2018-09-27,18.094675064086914,HOLD,96.24402468723719,9624.402468723718,2016,50..100
AMD,2016-01-22,2.0199999809265137,4925.742620767864,10000.0,2016-01-21,2018-10-03,28.43000030517578,HOLD,1293.386698905895,129338.66989058949,2016,1k..5k
KMI,2016-01-22,9.17667007446289,1084.2713009470783,10000.0,2016-01-21,2018-10-03,11.854853630065918,HOLD,27.896081801687235,2789.6081801687233,2016,25..50
CVLT,2016-01-28,35.91999816894531,277.00446846353924,10000.0,2016-01-27,2018-10-09,62.86000061035156,HOLD,73.25438551404746,7325.438551404746,2016,50..100
SMCI,2016-01-29,2.9779999256134033,3341.168652967819,10000.0,2016-01-28,2018-10-10,1.2799999713897705,HOLD,-57.44687698693829,-5744.68769869383,2016,<-50%
CPRI,2016-02-03,51.720001220703125,192.38205269061538,10000.0,2016-02-02,2018-10-15,62.459999084472656,HOLD,19.56101920750182,1956.1019207501813,2016,0..25
AKAM,2016-02-11,49.13999938964844,202.48270499767267,10000.0,2016-02-10,2018-10-23,64.22000122070312,HOLD,29.384223643112016,2938.422364311202,2016,25..50
