regime_at_entry,persona,lifecycle,N,win_rate,avg_ret,median_ret,median_alpha_peak,median_size_musd,median_vol_ratio
calm,reactive,transition,360,0.5611,0.1578,0.0618,0.1319,121.5774,1.3625
calm,balanced,transition,303,0.6535,0.1671,0.1182,0.1304,120.8826,1.3325
calm,n/a,n/a,260,0.5077,0.0607,0.005,0.1319,49.1094,1.5011
crisis,reactive,growth,158,0.7342,0.3431,0.2554,0.1365,118.5071,1.0927
calm,reactive,growth,149,0.4966,0.0858,-0.0142,0.1349,152.4193,1.2705
crisis,balanced,transition,138,0.8478,0.6236,0.5102,0.138,110.1364,1.2691
crisis,reactive,transition,128,0.7969,0.5386,0.2951,0.1327,123.4475,1.2279
calm,balanced,mature,128,0.6094,0.0947,0.0575,0.1295,128.1712,1.4939
crisis,balanced,mature,125,0.904,0.4883,0.4428,0.1338,152.3611,1.2142
normal,reactive,transition,123,0.5285,0.1357,0.0261,0.1328,133.3213,1.2472
calm,reactive,shake_out,122,0.5328,0.149,0.0341,0.1376,116.4474,1.2167
calm,balanced,insufficient_data,103,0.8932,0.365,0.2588,0.1318,76.9859,1.5866
calm,reactive,mature,102,0.6275,0.0925,0.0533,0.1272,136.853,1.6836
calm,reactive,insufficient_data,101,0.8317,0.4149,0.342,0.1324,85.2534,1.3333
calm,reserved,transition,98,0.5714,0.0503,0.0397,0.1306,199.3031,1.5161
normal,balanced,transition,94,0.7021,0.2077,0.0978,0.137,135.0812,1.3247
calm,balanced,growth,85,0.5882,0.1541,0.073,0.1324,177.0594,1.4056
calm,balanced,shake_out,81,0.5926,0.1694,0.0808,0.1291,140.8407,1.2658
calm,reactive,declining,81,0.5679,0.3706,0.0652,0.1374,147.162,1.6801
crisis,balanced,growth,68,0.7353,0.3192,0.2695,0.1357,92.7095,1.1478
calm,reserved,mature,66,0.5909,0.0494,0.0597,0.1292,131.1446,1.4635
crisis,reactive,shake_out,64,0.5938,0.2989,0.1122,0.1344,101.0567,1.0989
normal,reactive,growth,61,0.5902,0.3243,0.0508,0.1345,145.6039,1.2406
normal,n/a,n/a,61,0.8033,0.3079,0.2031,0.1329,83.8126,1.4795
crisis,reactive,mature,59,0.8814,0.4035,0.3497,0.134,157.6311,1.1586
normal,balanced,mature,51,0.7647,0.166,0.1519,0.1256,154.6865,1.1628
calm,balanced,declining,50,0.48,0.0596,-0.0162,0.1323,125.3848,1.3869
normal,reactive,insufficient_data,48,0.8333,0.3921,0.2943,0.1312,45.7971,1.0676
normal,reactive,shake_out,46,0.5217,0.0856,0.0389,0.1321,96.7066,1.3115
normal,balanced,insufficient_data,38,0.8947,0.2648,0.2161,0.1366,67.3384,1.5782
crisis,balanced,shake_out,37,0.7838,0.6616,0.5467,0.1387,89.2147,1.3951
crisis,balanced,insufficient_data,36,0.8889,0.3556,0.3304,0.1306,48.5514,1.4654
normal,reserved,transition,36,0.5278,0.0763,0.0118,0.134,230.5184,1.2235
crisis,reserved,mature,31,0.6129,0.147,0.0823,0.1369,112.9895,1.2679
normal,reactive,mature,29,0.5862,0.0875,0.1002,0.1277,173.8758,1.4053
crisis,reactive,declining,28,0.8571,0.7095,0.4298,0.1459,80.4888,1.2665
normal,balanced,declining,28,0.5714,0.1628,0.0483,0.1365,136.1251,1.3597
normal,reactive,declining,27,0.4444,0.105,-0.0247,0.1294,159.8362,1.1253
calm,reserved,declining,27,0.4815,-0.0219,-0.1007,0.1349,174.2681,1.9831
crisis,n/a,n/a,26,0.7308,0.2052,0.1756,0.1308,93.5527,1.4855
normal,reserved,mature,26,0.4615,0.0092,-0.0151,0.1314,202.4877,1.2601
crisis,reactive,insufficient_data,25,0.96,0.4675,0.3227,0.1331,78.0378,1.0688
normal,balanced,shake_out,23,0.5217,0.0811,0.0126,0.1312,163.6308,1.216
crisis,reserved,transition,20,0.8,0.2936,0.26,0.129,201.7961,1.3072
normal,balanced,growth,19,0.6316,0.101,0.151,0.1374,166.4415,1.5268
crisis,balanced,declining,15,0.9333,1.0367,0.8475,0.1416,106.8558,1.106
normal,reserved,declining,8,0.5,0.0302,0.0076,0.1268,113.8543,0.9661
calm,reserved,growth,6,0.8333,0.3437,0.4237,0.1238,122.4824,1.2832
calm,reserved,insufficient_data,6,0.6667,0.2056,0.272,0.1299,80.9322,1.4299
calm,reserved,shake_out,5,0.2,-0.1041,-0.1522,0.1298,555.1204,1.6841
