regime_at_entry,persona,lifecycle,N,win_rate,avg_ret,median_ret,median_alpha_peak,median_size_musd,median_vol_ratio
crisis,reserved,declining,4,1.0,0.5837,0.2045,0.1535,93.323,1.7595
crisis,reserved,growth,4,0.75,0.2238,0.1184,0.1394,193.4739,1.1162
normal,reserved,growth,3,0.6667,0.1678,0.3235,0.1319,207.7424,4.789
normal,reserved,insufficient_data,3,1.0,0.1437,0.122,0.1243,27.0298,1.3561
calm,herd,transition,2,0.5,-0.003,-0.003,0.1481,97.3672,1.1061
crisis,reserved,insufficient_data,2,0.5,0.0502,0.0502,0.1348,105.5157,1.5438
calm,herd,mature,1,0.0,-0.2094,-0.2094,0.1803,0.0125,5.8369
crisis,herd,mature,1,1.0,0.4056,0.4056,0.2112,78.1973,0.8524
crisis,herd,shake_out,1,1.0,0.7446,0.7446,0.1392,0.0175,0.1448
crisis,herd,growth,1,1.0,0.0883,0.0883,0.1879,0.0214,0.6871
calm,herd,insufficient_data,1,1.0,0.1562,0.1562,0.1308,0.0632,0.1196
crisis,reserved,shake_out,1,0.0,-0.0085,-0.0085,0.1204,394.2953,1.0694
normal,herd,shake_out,1,0.0,-0.4887,-0.4887,0.1517,0.01,0.513
normal,herd,insufficient_data,1,1.0,0.1129,0.1129,0.2326,0.0095,21.7233
normal,reserved,shake_out,1,1.0,0.7037,0.7037,0.1291,78.26,1.0657
